"","sp_code","season","elevation","species","plant_group","shape_upd","symmetry","flower_pos","anther_pos","odour","brightness","colour","nectar_guides","size","tube_length","volume","concentration","sugar_amount","glucose","fructose","saccharose"
"1","ACADEC","DRY",2250,"Acanthopale decempedalis","Herb","Trumpet","Actinomorphic","Pendant","Partially exposed","Weak-No","Vivid","White","Present",1.85471428571429,2.20092857142857,2.93866175856307,18.0142857142857,0.61240619313397,0.0973422644683681,0.172027163525507,0.730630572006125
"2","ACADEC","WET",2250,"Acanthopale decempedalis","Herb","Trumpet","Actinomorphic","Pendant","Partially exposed","Weak-No","Vivid","White","Present",1.85471428571429,2.20092857142857,2.93866175856307,18.0142857142857,0.61240619313397,0.0973422644683681,0.172027163525507,0.730630572006125
"3","ACASTR","DRY",650,"Streptocarpus strigosus","Herb","Tube","Actinomorphic","All","Hidden","Weak-No","Vivid","Purple","Present",1.18438461538462,1.68284615384615,1.43092105263158,4.5625,0.0609791699561404,0.0374314812782835,0.0327422839560267,0.92982623476569
"4","ACASTR","DRY",1100,"Streptocarpus strigosus","Herb","Tube","Actinomorphic","All","Hidden","Weak-No","Vivid","Purple","Present",1.18438461538462,1.68284615384615,1.43092105263158,4.5625,0.0609791699561404,0.0374314812782835,0.0327422839560267,0.92982623476569
"5","ACASTR","WET",650,"Streptocarpus strigosus","Herb","Tube","Actinomorphic","All","Hidden","Weak-No","Vivid","Purple","Present",1.18438461538462,1.68284615384615,1.43092105263158,4.5625,0.0609791699561404,0.0374314812782835,0.0327422839560267,0.92982623476569
"6","ACASTR","WET",1100,"Streptocarpus strigosus","Herb","Tube","Actinomorphic","All","Hidden","Weak-No","Vivid","Purple","Present",1.18438461538462,1.68284615384615,1.43092105263158,4.5625,0.0609791699561404,0.0374314812782835,0.0327422839560267,0.92982623476569
"7","AFRSPP","DRY",650,"Aframomum sp purple","Herb","Trumpet","Zygomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",5.1243125,4.5085,9.54098945279866,15.355,2.29074008501316,0.349860404124969,0.31056638197741,0.33957321389762
"8","AFRSPP","DRY",1100,"Aframomum sp purple","Herb","Trumpet","Zygomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",5.1243125,4.5085,9.54098945279866,15.355,2.29074008501316,0.349860404124969,0.31056638197741,0.33957321389762
"9","AFRSPP","DRY",1450,"Aframomum sp purple","Herb","Trumpet","Zygomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",5.1243125,4.5085,9.54098945279866,15.355,2.29074008501316,0.349860404124969,0.31056638197741,0.33957321389762
"10","AFRSPP","WET",650,"Aframomum sp purple","Herb","Trumpet","Zygomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",5.1243125,4.5085,9.54098945279866,15.355,2.29074008501316,0.349860404124969,0.31056638197741,0.33957321389762
"11","AFRSPW","DRY",1450,"Aframomum sp white","Herb","Trumpet","Zygomorphic","Upright","Hidden","Weak-No","Vivid","White","Present",2.99666666666667,4.32666666666667,89.4742105263158,17.0666666666667,21.8033889392857,0.370416393112431,0.358760831900134,0.270822774987435
"12","ANCDIF","DRY",1100,"Anchomanes difformis","Herb","Open","Actinomorphic","Horizontal","Exposed","Strong ","Drab","White","Absent",0.245777777777778,0,NA,NA,0.00399523809523809,0.144476557482338,0.243192035966602,0.61233140655106
"13","ANCDIF","WET",1100,"Anchomanes difformis","Herb","Open","Actinomorphic","Horizontal","Exposed","Strong ","Drab","White","Absent",0.245777777777778,0,NA,NA,0.00399523809523809,0.144476557482338,0.243192035966602,0.61233140655106
"14","ANESP1","DRY",1100,"Aneilema sp 1","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Drab","White","Absent",0.614,0,NA,NA,NA,NA,NA,NA
"15","ANESP1","WET",650,"Aneilema sp 1","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Drab","White","Absent",0.614,0,NA,NA,NA,NA,NA,NA
"16","ANGGRA","WET",1450,"Angraecopsis gracillima","Epiphyte","Trumpet","Zygomorphic","Pendant","Exposed","Weak-No","Vivid","White","Absent",1.2885,3.318,NA,NA,0.0518875,0.112725148863017,0.173347638183267,0.713927212953716
"17","ANTSCA","DRY",2250,"Anthocleista scandens","Climber","Trumpet","Actinomorphic","Upright","Exposed","Weak-No","Vivid","White","Absent",5.678,3.9928,1440.625,17.8222222222222,283.14614818125,0.336876291703572,0.389725420726307,0.273398287570121
"18","APOPAL","DRY",1450,"Apodostigma pallens","Climber","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Green","Absent",0.34,0,NA,NA,NA,NA,NA,NA
"19","ARGAFZ","DRY",1100,"Argocoffeopsis afzelii","Climber","Salverform","Actinomorphic","Upright","Exposed","Strong ","Vivid","White","Absent",1.7094,0.19,NA,NA,0.0810861111111111,0.350832430653308,0.29393515052871,0.355232418817982
