"","sp_code","elevation","season","plant_group","species","shape_upd","symmetry","flower_pos","anther_pos","odour","brightness","colour","nectar_guides","size","tube_length","volume","concentration","sugar_amount","glucose","fructose","saccharose","d","shape_upd_num","symmetry_num","flower_pos_num","anther_pos_num","odour_num","brightness_num","nectar_guides_num","R","G","B","brown","green","orange","pink","purple","red","white","yellow"
"ACASTR_650_DRY","ACASTR",650,"DRY","Herb","Streptocarpus strigosus","Tube","Actinomorphic","All","Hidden","Weak-No","Vivid","Purple","Present",1.18438461538462,1.68284615384615,1.43092105263158,4.5625,0.0609791699561404,0.0374314812782835,0.0327422839560267,0.92982623476569,0.143187447309309,0,0,0,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"AFRSPP_650_DRY","AFRSPP",650,"DRY","Herb","Aframomum sp purple","Trumpet","Zygomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",5.1243125,4.5085,9.54098945279866,15.355,2.29074008501316,0.349860404124969,0.31056638197741,0.33957321389762,0.343675691883751,0,1,0.5,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"BEGAMP_650_DRY","BEGAMP",650,"DRY","Epiphyte","Begonia ampla","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","White","Present",2.622625,0,NA,NA,0.00030625,NA,NA,NA,0.132928721387425,1,1,1,1,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"BEGFUS_650_DRY","BEGFUS",650,"DRY","Herb","Begonia fusialata","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Drab","White","Present",0.9329,0,NA,NA,0.00491923076923077,0.411347517730496,0.574468085106383,0.0141843971631206,0.133520045781544,1,1,1,1,0,0,1,255,255,255,0,0,0,0,0,0,1,0
"BEGLET_650_DRY","BEGLET",650,"DRY","Herb","Begonia letouzeyi","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Yellow","Present",2.0845,0,NA,NA,0.00418839285714286,0.175324675324675,0.142857142857143,0.681818181818182,0.132158625548184,1,1,1,1,0,1,1,255,255,0,0,0,0,0,0,0,0,1
"BEGMAN_650_DRY","BEGMAN",650,"DRY","Herb","Begonia mannii","Open","Zygomorphic","All","Exposed","Weak-No","Vivid","Red","Absent",1.5245,0,NA,NA,0.00459615384615385,0.471349795801069,0.523061968904813,0.00558823529411765,0.208903123586523,1,1,0,1,0,1,0,255,0,0,0,0,0,0,0,1,0,0
"BEGSCU_650_DRY","BEGSCU",650,"DRY","Herb","Begonia scutifolia","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Yellow","Present",1.16942857142857,0,NA,NA,0.00896923076923077,0.277946668982889,0.205105098584209,0.516948232432902,0.29627310384074,1,1,1,1,0,1,1,255,255,0,0,0,0,0,0,0,0,1
"CALACU_650_DRY","CALACU",650,"DRY","Climber","Calochone acuminata","Trumpet","Actinomorphic","Horizontal","Partially exposed","Weak-No","Vivid","Orange","Present",7.74,4.2888,39.25,20.75,8.74274341125,0.132013058297268,0.657499345839299,0.210487595863433,0.148513739857149,0,0,1,0.5,0,1,1,255,165,0,0,0,1,0,0,0,0,0
"CAMFLA_650_DRY","CAMFLA",650,"DRY","Shrub","Gomphia flava","Stellate","Actinomorphic","All","Exposed","Weak-No","Vivid","Yellow","Absent",2.0406,0,NA,NA,0.00419479166666667,0.543863593463593,0.430188546988547,0.0259478595478596,0.120532024486087,1,0,0,1,0,1,0,255,255,0,0,0,0,0,0,0,0,1
"CAMMAN_650_DRY","CAMMAN",650,"DRY","Shrub","Gomphia mannii","Dish","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Yellow","Present",1.6892,0,NA,NA,0.00535,0.509259259259259,0.453703703703704,0.037037037037037,0.14576994191215,1,0,1,1,0,0,1,255,255,0,0,0,0,0,0,0,0,1
